"","Index","Method","Date","SVL_mm","Mass","X","Y","ID"
"202",133,"Plot","7-May-16","39","5.2",NA,NA,"B; FTown Loop"
"11",308,"Transect","21-Aug-16","45","8.9g",NA,NA,"T3"
"12",1227,"Transect","1-Jul-17","44.7","8.5",4118903,"367265","T18"
"1000",579,"Transect","25-Jul-16","46.6","8.4",NA,NA,"T9"
"1001",106,"Transect","10-Jul-16","48.7","11",NA,NA,"T0"
"1173",1226,"Transect","1-Jul-17","47.7","11",4118903,"367265","T18"
"407",1339,"RoadVES","14-May-17","39","",365792,"4120216",""
"408",374,"RoadVES","22-Apr-16","39.8","-",365399,"4118432",""
"410",1327,"RoadVES","14-May-17","41.5","",365828,"4120344",""
"411",1425,"RoadVES","16-May-17","42","",364099,"4119947",""
"412",1445,"RoadVES","16-May-17","42","",364274,"4119847",""
"413",361,"RoadVES","22-Apr-16","42.2","-",365307,"4118470",""
"422",916,"RoadVES","11-Jul-16","43.2","-",364522,"4119197",""
"427",1708,"RoadVES","17-May-17","43.4","",366368,"4118424",""
"430",1009,"RoadVES","19-Aug-16","44","-",363854,"4120470",""
"431",1004,"RoadVES","19-Aug-16","44","-",363869,"4120407",""
"447",974,"RoadVES","20-Jul-16","44.7","-",364122,"4119962",""
"452",1166,"RoadVES","11-May-17","44.9","",364713,"4118435",""
"457",958,"RoadVES","20-Jul-16","45.1","-",364230,"4119890",""
"460",991,"RoadVES","19-Aug-16","45.2","-",363847,"4120419",""
"461",997,"RoadVES","19-Aug-16","45.2","-",363837,"4120439",""
"475",1940,"RoadVES","19-May-17","45.6","",363868,"4120459",""
"481",1001,"RoadVES","19-Aug-16","45.8","-",363864,"4120411",""
"483",1088,"RoadVES","11-May-17","45.8","",364667,"4118471",""
"495",2160,"RoadVES","19-May-17","46.4","",367631,"4119650",""
"502",1605,"RoadVES","17-May-17","46.5","",366459,"4118567",""
"507",2090,"RoadVES","19-May-17","46.6","",367567,"4119232",""
"514",1401,"RoadVES","15-May-17","46.8","",363867,"4120437",""
"523",1022,"RoadVES","21-Aug-16","47.2","-",363815,"4120555",""
"541",1278,"RoadVES","14-May-17","47.6","",365455,"4119828",""
"560",1006,"RoadVES","19-Aug-16","48","-",363872,"4120377",""
"574",1494,"RoadVES","16-May-17","48.2","",364905,"4120169",""
"582",1889,"RoadVES","18-May-17","48.5","",364561,"4119244",""
"592",2188,"RoadVES","20-May-17","48.9","",367612,"4119755",""
"594",2039,"RoadVES","19-May-17","48.9","",367473,"4119086",""
"599",1041,"RoadVES","11-May-17","49.1","",364399,"4118517",""
"608",1406,"RoadVES","15-May-17","49.4","",363869,"4120358",""
"619",1886,"RoadVES","18-May-17","49.6","",364569,"4119256",""
"630",2201,"RoadVES","20-May-17","49.9","",367577,"4119816",""
"637",1507,"RoadVES","17-May-17","50","",364765,"4120086",""
"663",1271,"RoadVES","14-May-17","50.6","",365496,"4119817",""
"666",1414,"RoadVES","15-May-17","50.6","",363910,"4120286",""
"703",1181,"RoadVES","12-May-17","51.6","",364822,"4118428",""
"786",2093,"RoadVES","19-May-17","54.4","",367572,"4119237",""
